dex_no,name_en,generation,forms,category,height_m,weight_kg,hatch_time,name_fr,name_es,name_de,name_it,has_gender,female_percent,male_percent,is_breedable,catch_rate,leveling_rate,pokedex_colour,base_friendship,base_hp,base_atk,base_def,base_spatk,base_spdef,base_speed,base_experience_yield,egg_group_0,egg_group_1,type_0,type_1,ev_yield_hp,ev_yield_attack,ev_yield_defense,ev_yield_special_attack,ev_yield_special_defense,ev_yield_speed,description_violet,ability_0,ability_1,hidden_ability,is_legendary,is_mythical,is_part_of_evolution,stage,evolution_level,bulbapedia_link
0134,Vaporeon,1,1,Bubble Jet Pokémon,1.0,29.0,35,Aquali,Vaporeon,Aquana,Vaporeon,True,12.5,87.5,True,45,Medium Fast,Blue,70,130,65,60,110,95,65,184,Field,,Water,,2,0,0,0,0,0,"Its cell composition is similar to water molecules. As a result, it can't be seen when it melts away into water.",Water Absorb,,Hydration,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Vaporeon_(Pok%C3%A9mon)
0135,Jolteon,1,1,Lightning Pokémon,0.8,24.5,35,Voltali,Jolteon,Blitza,Jolteon,True,12.5,87.5,True,45,Medium Fast,Yellow,70,65,65,60,110,95,130,184,Field,,Electric,,0,0,0,0,0,2,"If agitated, it uses electricity to straighten out its fur and launch it in small bunches.",Volt Absorb,,Quick Feet,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Jolteon_(Pok%C3%A9mon)
0136,Flareon,1,1,Flame Pokémon,0.9,25.0,35,Pyroli,Flareon,Flamara,Flareon,True,12.5,87.5,True,45,Medium Fast,Red,70,65,130,60,95,110,65,184,Field,,Fire,,0,2,0,0,0,0,"It fluffs out its fur collar to cool down its body temperature, which can reach1,650 degrees Fahrenheit.",Flash Fire,,Guts,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Flareon_(Pok%C3%A9mon)
0137,Porygon,1,1,Virtual Pokémon,0.8,36.5,20,Porygon,Porygon,Porygon,Porygon,False,0,0,True,45,Medium Fast,Pink,70,65,60,70,85,75,40,79,Mineral,,Normal,,0,0,0,1,0,0,Porygon is an artificial Pokémon created using advanced scientific means. It can move freely through cyberspace.,Trace,Download,Analytic,False,False,True,basic,,https://bulbapedia.bulbagarden.net/wiki/Porygon_(Pok%C3%A9mon)
0138,Omanyte,1,1,Spiral Pokémon,0.4,7.5,30,Amonita,Omanyte,Amonitas,Omanyte,True,12.5,87.5,True,45,Medium Fast,Blue,70,35,40,100,90,55,35,71,Water 1,Water 3,Rock,Water,0,0,1,0,0,0,,Swift Swim,Shell Armor,Weak Armor,False,False,True,basic,40,https://bulbapedia.bulbagarden.net/wiki/Omanyte_(Pok%C3%A9mon)
0139,Omastar,1,1,Spiral Pokémon,1.0,35.0,30,Amonistar,Omastar,Amoroso,Omastar,True,12.5,87.5,True,45,Medium Fast,Blue,70,70,60,125,115,70,55,173,Water 1,Water 3,Rock,Water,0,0,2,0,0,0,,Swift Swim,Shell Armor,Weak Armor,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Omastar_(Pok%C3%A9mon)
0140,Kabuto,1,1,Shellfish Pokémon,0.5,11.5,30,Kabuto,Kabuto,Kabuto,Kabuto,True,12.5,87.5,True,45,Medium Fast,Brown,70,30,80,90,55,45,55,71,Water 1,Water 3,Rock,Water,0,0,1,0,0,0,,Swift Swim,Battle Armor,Weak Armor,False,False,True,basic,40,https://bulbapedia.bulbagarden.net/wiki/Kabuto_(Pok%C3%A9mon)
0141,Kabutops,1,1,Shellfish Pokémon,1.3,40.5,30,Kabutops,Kabutops,Kabutops,Kabutops,True,12.5,87.5,True,45,Medium Fast,Brown,70,60,115,105,65,70,80,173,Water 1,Water 3,Rock,Water,0,2,0,0,0,0,,Swift Swim,Battle Armor,Weak Armor,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Kabutops_(Pok%C3%A9mon)
0142,Aerodactyl,1,1,Fossil Pokémon,1.8,59.0,35,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,True,12.5,87.5,True,45,Slow,Purple,70,80,105,65,60,75,130,180,Flying,,Rock,Flying,0,0,0,0,0,2,,Rock Head,Pressure,Unnerve,False,False,False,basic,,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon)
0143,Snorlax,1,1,Sleeping Pokémon,2.1,460.0,40,Ronflex,Snorlax,Relaxo,Snorlax,True,12.5,87.5,True,25,Slow,Black,70,160,110,65,65,110,30,189,Monster,,Normal,,2,0,0,0,0,0,Its stomach's digestive juices can dissolve any kind of poison. Eating things off the ground doesn't bother it at all.,Immunity,Thick Fat,Gluttony,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon)
0144,Articuno,1,2,Freeze Pokémon,1.7,55.4,80,Artikodin,Articuno,Arktos,Articuno,True,0,,False,3,Slow,Blue,35,90,85,100,95,125,85,261,No Eggs Discovered,,Ice,Flying,0,0,0,0,3,0,,Pressure,,Snow Cloak,True,False,False,basic,,https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon)
0145,Zapdos,1,2,Electric Pokémon,1.6,52.6,80,Électhor,Zapdos,Zapdos,Zapdos,False,0,0,False,3,Slow,Yellow,35,90,90,85,125,90,100,261,No Eggs Discovered,,Electric,Flying,0,0,0,3,0,0,,Pressure,,Static,True,False,False,basic,,https://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon)
0146,Moltres,1,2,Flame Pokémon,2.0,60.0,80,Sulfura,Moltres,Lavados,Moltres,True,0,,False,3,Slow,Yellow,35,90,100,90,125,85,90,261,No Eggs Discovered,,Fire,Flying,0,0,0,3,0,0,,Pressure,,Flame Body,True,False,False,basic,,https://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon)
0147,Dratini,1,1,Dragon Pokémon,1.8,3.3,40,Minidraco,Dratini,Dratini,Dratini,True,50,50,True,45,Slow,Blue,35,41,64,45,50,50,50,60,Water 1,Dragon,Dragon,,0,1,0,0,0,0,It is born large to start with. It repeatedly sheds its skin as it steadily grows longer.,Shed Skin,,Marvel Scale,False,False,True,basic,30,https://bulbapedia.bulbagarden.net/wiki/Dratini_(Pok%C3%A9mon)
0148,Dragonair,1,1,Dragon Pokémon,4.0,16.5,40,Draco,Dragonair,Dragonir,Dragonair,True,50,50,True,45,Slow,Blue,35,61,84,65,70,70,70,147,Water 1,Dragon,Dragon,,0,2,0,0,0,0,"It is called the divine Pokémon. When its entire body brightens slightly, the weather changes.",Shed Skin,,Marvel Scale,False,False,True,stage 1,55,https://bulbapedia.bulbagarden.net/wiki/Dragonair_(Pok%C3%A9mon)
0149,Dragonite,1,1,Dragon Pokémon,2.2,210.0,40,Dracolosse,Dragonite,Dragoran,Dragonite,True,50,50,True,45,Slow,Brown,35,91,134,95,100,100,80,270,Water 1,Dragon,Dragon,Flying,0,3,0,0,0,0,It can fly in spite of its big and bulky physique. It circles the globe in just 16 hours.,Inner Focus,,Multiscale,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Dragonite_(Pok%C3%A9mon)
0150,Mewtwo,1,1,Genetic Pokémon,2.0,122.0,120,Mewtwo,Mewtwo,Mewtu,Mewtwo,False,0,0,False,3,Slow,Purple,0,106,110,90,154,90,130,306,No Eggs Discovered,,Psychic,,0,0,0,3,0,0,,Pressure,,Unnerve,True,False,False,basic,,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon)
0151,Mew,1,1,New Species Pokémon,0.4,4.0,120,Mew,Mew,Mew,Mew,False,0,0,False,45,Medium Slow,Pink,100,100,100,100,100,100,100,270,No Eggs Discovered,,Psychic,,3,0,0,0,0,0,,Synchronize,,,False,True,False,basic,,https://bulbapedia.bulbagarden.net/wiki/Mew_(Pok%C3%A9mon)
0152,Chikorita,2,1,Leaf Pokémon,0.9,6.4,20,Germignon,Chikorita,Endivie,Chikorita,True,12.5,87.5,True,45,Medium Slow,Green,70,45,49,65,49,65,45,64,Monster,Grass,Grass,,0,0,0,0,1,0,Its pleasantly aromatic leaf has the ability to check the humidity and temperature of the area around it.,Overgrow,,Leaf Guard,False,False,True,basic,16,https://bulbapedia.bulbagarden.net/wiki/Chikorita_(Pok%C3%A9mon)
0153,Bayleef,2,1,Leaf Pokémon,1.2,15.8,20,Macronium,Bayleef,Lorblatt,Bayleef,True,12.5,87.5,True,45,Medium Slow,Green,70,60,62,80,63,80,60,142,Monster,Grass,Grass,,0,0,1,0,1,0,The scent that wafts from the leaves on its neck causes anyone who smells it to become energetic.,Overgrow,,Leaf Guard,False,False,True,stage 1,32,https://bulbapedia.bulbagarden.net/wiki/Bayleef_(Pok%C3%A9mon)
0154,Meganium,2,1,Herb Pokémon,1.8,100.5,20,Méganium,Meganium,Meganie,Meganium,True,12.5,87.5,True,45,Medium Slow,Green,70,80,82,100,83,100,80,236,Monster,Grass,Grass,,0,0,1,0,2,0,Meganium’s breath holds within it the power to revive grasses and plants that have withered.,Overgrow,,Leaf Guard,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Meganium_(Pok%C3%A9mon)
0155,Cyndaquil,2,1,Fire Mouse Pokémon,0.5,7.9,20,Héricendre,Cyndaquil,Feurigel,Cyndaquil,True,12.5,87.5,True,45,Medium Slow,Yellow,70,39,52,43,60,50,65,62,Field,,Fire,,0,0,0,0,0,1,The fire that spouts from its back burns hottest when it is angry. The flaring flames intimidate foes.,Blaze,,Flash Fire,False,False,True,basic,14,https://bulbapedia.bulbagarden.net/wiki/Cyndaquil_(Pok%C3%A9mon)
0156,Quilava,2,1,Volcano Pokémon,0.9,19.0,20,Feurisson,Quilava,Igelavar,Quilava,True,12.5,87.5,True,45,Medium Slow,Yellow,70,58,64,58,80,65,80,142,Field,,Fire,,0,0,0,1,0,1,"The fur covering this Pokémon's body never burns, no matter what. It can shrug off any kind of fire attack.",Blaze,,Flash Fire,False,False,True,stage 1,36,https://bulbapedia.bulbagarden.net/wiki/Quilava_(Pok%C3%A9mon)
0157,Typhlosion,2,2,VolcanoPokémon,1.7,79.5,20,Typhlosion,Typhlosion,Tornupto,Typhlosion,True,12.5,87.5,True,45,Medium Slow,Yellow,70,78,84,78,109,85,100,240,Field,,Fire,,0,0,0,3,0,0,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.",Blaze,,Flash Fire,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Typhlosion_(Pok%C3%A9mon)
0158,Totodile,2,1,Big Jaw Pokémon,0.6,9.5,20,Kaiminus,Totodile,Karnimani,Totodile,True,12.5,87.5,True,45,Medium Slow,Blue,70,50,65,64,44,48,43,63,Monster,Water 1,Water,,0,1,0,0,0,0,This rough critter chomps at any moving object it sees. Turning your back on it is not recommended.,Torrent,,Sheer Force,False,False,True,basic,18,https://bulbapedia.bulbagarden.net/wiki/Totodile_(Pok%C3%A9mon)
0159,Croconaw,2,1,Big Jaw Pokémon,1.1,25.0,20,Crocrodil,Croconaw,Tyracroc,Croconaw,True,12.5,87.5,True,45,Medium Slow,Blue,70,65,80,80,59,63,58,142,Monster,Water 1,Water,,0,1,1,0,0,0,"It opens its huge jaws wide to attack. If it loses fangs while biting, they’ll just keep on growing back, one after another.",Torrent,,Sheer Force,False,False,True,stage 1,30,https://bulbapedia.bulbagarden.net/wiki/Croconaw_(Pok%C3%A9mon)
0160,Feraligatr,2,1,Big Jaw Pokémon,2.3,88.8,20,Aligatueur,Feraligatr,Impergator,Feraligatr,True,12.5,87.5,True,45,Medium Slow,Blue,70,85,105,100,79,83,78,239,Monster,Water 1,Water,,0,2,1,0,0,0,"Although it has a massive body, its powerful hind legs enable it to move quickly, even on land.",Torrent,,Sheer Force,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Feraligatr_(Pok%C3%A9mon)
0161,Sentret,2,1,Scout Pokémon,0.8,6.0,15,Fouinette,Sentret,Wiesor,Sentret,True,50,50,True,255,Medium Fast,Brown,70,35,46,34,35,45,20,43,Field,,Normal,,0,1,0,0,0,0,"If it encounters a foe, it will stand up on its tail, making itself look bigger than usual to intimidate them.",Run Away,Keen Eye,Frisk,False,False,True,basic,15,https://bulbapedia.bulbagarden.net/wiki/Sentret_(Pok%C3%A9mon)
0162,Furret,2,1,Long Body Pokémon,1.8,32.5,15,Fouinar,Furret,Wiesenior,Furret,True,50,50,True,90,Medium Fast,Brown,70,85,76,64,45,55,90,145,Field,,Normal,,0,0,0,0,0,2,"It is nimble and has a very flexible body. Even if you get ahold of it, it'll slip right out of your arms.",Run Away,Keen Eye,Frisk,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Furret_(Pok%C3%A9mon)
0163,Hoothoot,2,1,Owl Pokémon,0.7,21.2,15,Hoothoot,Hoothoot,Hoothoot,Hoothoot,True,50,50,True,255,Medium Fast,Brown,70,60,30,30,36,56,50,52,Flying,,Normal,Flying,1,0,0,0,0,0,"Since it tells time precisely, some countries consider it to be a deity of wisdom, versed in the ways of the world.",Insomnia,Keen Eye,Tinted Lens,False,False,True,basic,20,https://bulbapedia.bulbagarden.net/wiki/Hoothoot_(Pok%C3%A9mon)
0164,Noctowl,2,1,Owl Pokémon,1.6,40.8,15,Noarfang,Noctowl,Noctuh,Noctowl,True,50,50,True,90,Medium Fast,Brown,70,100,50,50,76,96,70,158,Flying,,Normal,Flying,2,0,0,0,0,0,Its extremely soft wings make no sound in flight. It silently sneaks up on prey without being detected.,Insomnia,Keen Eye,Tinted Lens,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Noctowl_(Pok%C3%A9mon)
0165,Ledyba,2,1,Five Star Pokémon,1.0,10.8,15,Coxy,Ledyba,Ledyba,Ledyba,True,50,50,True,255,Fast,Red,70,40,20,30,40,80,55,53,Bug,,Bug,Flying,0,0,0,0,1,0,,Swarm,Early Bird,Rattled,False,False,True,basic,18,https://bulbapedia.bulbagarden.net/wiki/Ledyba_(Pok%C3%A9mon)
0166,Ledian,2,1,Five Star Pokémon,1.4,35.6,15,Coxyclaque,Ledian,Ledian,Ledian,True,50,50,True,90,Fast,Red,70,55,35,50,55,110,85,137,Bug,,Bug,Flying,0,0,0,0,2,0,,Swarm,Early Bird,Iron Fist,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Ledian_(Pok%C3%A9mon)
0167,Spinarak,2,1,String Spit Pokémon,0.5,8.5,15,Mimigal,Spinarak,Webarak,Spinarak,True,50,50,True,255,Fast,Green,70,40,60,40,40,40,30,50,Bug,,Bug,Poison,0,1,0,0,0,0,Some fishers weave its sturdy thread into nets to catch fish Pokémon.,Swarm,Insomnia,Sniper,False,False,True,basic,22,https://bulbapedia.bulbagarden.net/wiki/Spinarak_(Pok%C3%A9mon)
0168,Ariados,2,1,Long Leg Pokémon,1.1,33.5,15,Migalos,Ariados,Ariados,Ariados,True,50,50,True,90,Fast,Red,70,70,90,70,60,60,40,140,Bug,,Bug,Poison,0,2,0,0,0,0,"It wanders in search of food after darkness falls, never nesting in a specific place.",Swarm,Insomnia,Sniper,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Ariados_(Pok%C3%A9mon)
0169,Crobat,2,1,Bat Pokémon,1.8,75.0,15,Nostenfer,Crobat,Iksbat,Crobat,True,50,50,True,90,Medium Fast,Purple,70,85,90,80,70,80,130,241,Flying,,Poison,Flying,0,0,0,0,0,3,,Inner Focus,,Infiltrator,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Crobat_(Pok%C3%A9mon)
0170,Chinchou,2,1,Angler Pokémon,0.5,12.0,20,Loupio,Chinchou,Lampi,Chinchou,True,50,50,True,190,Slow,Blue,70,75,38,38,56,56,67,66,Water 2,,Water,Electric,1,0,0,0,0,0,It shoots positively and negatively charged electricity from the tips of its two antennae and stuns its opponents.,Volt Absorb,Illuminate,Water Absorb,False,False,True,basic,27,https://bulbapedia.bulbagarden.net/wiki/Chinchou_(Pok%C3%A9mon)
0171,Lanturn,2,1,Light Pokémon,1.2,22.5,20,Lanturn,Lanturn,Lanturn,Lanturn,True,50,50,True,75,Slow,Blue,70,125,58,58,76,76,67,161,Water 2,,Water,Electric,2,0,0,0,0,0,"It blinds prey with an intense burst of light. With the prey incapacitated, the Pokémon swallows it in a single gulp.",Volt Absorb,Illuminate,Water Absorb,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Lanturn_(Pok%C3%A9mon)
0172,Pichu,2,1,Tiny Mouse Pokémon,0.3,2.0,10,Pichu,Pichu,Pichu,Pichu,True,50,50,True,190,Medium Fast,Yellow,70,20,40,15,35,35,60,41,No Eggs Discovered,,Electric,,0,0,0,0,0,1,"Despite this Pokémon's cute appearance, those who want to live with one should prepare to be on the receiving end of its electric jolts.",Static,,Lightning Rod,False,False,True,basic,,https://bulbapedia.bulbagarden.net/wiki/Pichu_(Pok%C3%A9mon)
0173,Cleffa,2,1,Star Shape Pokémon,0.3,3.0,10,Mélo,Cleffa,Pii,Cleffa,True,75,25,True,150,Fast,Pink,140,50,25,28,45,55,15,44,No Eggs Discovered,,Fairy,,0,0,0,0,1,0,"Since it is often seen when shooting stars fill the night skies, it's said to come here by riding on a star.",Cute Charm,Magic Guard,Friend Guard,False,False,True,basic,,https://bulbapedia.bulbagarden.net/wiki/Cleffa_(Pok%C3%A9mon)
0174,Igglybuff,2,1,Balloon Pokémon,0.3,1.0,10,Toudoudou,Igglybuff,Fluffeluff,Igglybuff,True,75,25,True,170,Fast,Pink,70,90,30,15,40,20,15,42,No Eggs Discovered,,Normal,Fairy,1,0,0,0,0,0,"It likes to sing but is not yet good at it. With praise and encouragement, it will get better little by little.",Cute Charm,Competitive,Friend Guard,False,False,True,basic,,https://bulbapedia.bulbagarden.net/wiki/Igglybuff_(Pok%C3%A9mon)
0175,Togepi,2,1,Spike Ball Pokémon,0.3,1.5,10,Togepi,Togepi,Togepi,Togepi,True,12.5,87.5,True,190,Fast,White,70,35,20,65,40,65,20,49,No Eggs Discovered,,Fairy,,0,0,0,0,1,0,,Hustle,Serene Grace,Super Luck,False,False,True,basic,,https://bulbapedia.bulbagarden.net/wiki/Togepi_(Pok%C3%A9mon)
0176,Togetic,2,1,Happiness Pokémon,0.6,3.2,10,Togetic,Togetic,Togetic,Togetic,True,12.5,87.5,True,75,Fast,White,70,55,40,85,80,105,40,142,Flying,Fairy,Fairy,Flying,0,0,0,0,2,0,,Hustle,Serene Grace,Super Luck,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Togetic_(Pok%C3%A9mon)
0177,Natu,2,1,Tiny Bird Pokémon,0.2,2.0,20,Natu,Natu,Natu,Natu,True,50,50,True,190,Medium Fast,Green,70,40,50,45,70,45,70,64,Flying,,Psychic,Flying,0,0,0,1,0,0,,Synchronize,Early Bird,Magic Bounce,False,False,True,basic,25,https://bulbapedia.bulbagarden.net/wiki/Natu_(Pok%C3%A9mon)
0178,Xatu,2,1,Mystic Pokémon,1.5,15.0,20,Xatu,Xatu,Xatu,Xatu,True,50,50,True,75,Medium Fast,Green,70,65,75,70,95,70,95,165,Flying,,Psychic,Flying,0,0,0,1,0,1,,Synchronize,Early Bird,Magic Bounce,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Xatu_(Pok%C3%A9mon)
0179,Mareep,2,1,Wool Pokémon,0.6,7.8,20,Wattouat,Mareep,Voltilamm,Mareep,True,50,50,True,235,Medium Slow,White,70,55,40,40,65,45,35,56,Monster,Field,Electric,,0,0,0,1,0,0,"Its fleece grows continually. In the summer, the fleece is fully shed, but it grows back in a week.",Static,,Plus,False,False,True,basic,15,https://bulbapedia.bulbagarden.net/wiki/Mareep_(Pok%C3%A9mon)
0180,Flaaffy,2,1,Wool Pokémon,0.8,13.3,20,Lainergie,Flaaffy,Waaty,Flaaffy,True,50,50,True,120,Medium Slow,Pink,70,70,55,55,80,60,45,128,Monster,Field,Electric,,0,0,0,2,0,0,"Because of its rubbery, electricity-resistant skin, it can store lots of electricity in its fur.",Static,,Plus,False,False,True,stage 1,30,https://bulbapedia.bulbagarden.net/wiki/Flaaffy_(Pok%C3%A9mon)
0181,Ampharos,2,1,Light Pokémon,1.4,61.5,20,Pharamp,Ampharos,Ampharos,Ampharos,True,50,50,True,45,Medium Slow,Yellow,70,90,75,75,115,90,55,230,Monster,Field,Electric,,0,0,0,3,0,0,"When it gets dark, the light from its bright, shiny tail can be seen from far away on the ocean's surface.",Static,,Plus,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon)
0182,Bellossom,2,1,Flower Pokémon,0.4,5.8,20,Joliflor,Bellossom,Blubella,Bellossom,True,50,50,True,45,Medium Slow,Green,70,75,80,85,90,100,50,221,Grass,,Grass,,0,0,0,0,3,0,"After it grows up, it leaves the forest it was born in to form groups with other Bellossom. It breaks into dance when it gets excited.",Chlorophyll,,Healer,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Bellossom_(Pok%C3%A9mon)
0183,Marill,2,1,Aqua Mouse Pokémon,0.4,8.5,10,Marill,Marill,Marill,Marill,True,50,50,True,190,Fast,Blue,70,70,20,50,20,50,40,88,Water 1,Fairy,Water,Fairy,2,0,0,0,0,0,"The oil-filled tail functions as a buoy, so it's fine even in rivers with strong currents.",Thick Fat,Huge Power,Sap Sipper,False,False,True,stage 1,18,https://bulbapedia.bulbagarden.net/wiki/Marill_(Pok%C3%A9mon)
0184,Azumarill,2,1,Aqua Rabbit Pokémon,0.8,28.5,10,Azumarill,Azumarill,Azumarill,Azumarill,True,50,50,True,75,Fast,Blue,70,100,50,80,50,80,50,189,Water 1,Fairy,Water,Fairy,3,0,0,0,0,0,"By keeping still and listening intently, it can tell what is in even wild, fast-moving rivers.",Thick Fat,Huge Power,Sap Sipper,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Azumarill_(Pok%C3%A9mon)
0185,Sudowoodo,2,1,Imitation Pokémon,1.2,38.0,20,Simularbre,Sudowoodo,Mogelbaum,Sudowoodo,True,50,50,True,65,Medium Fast,Brown,70,70,100,115,30,65,30,144,Mineral,,Rock,,0,0,2,0,0,0,"To avoid being attacked, it does nothing but mimic a tree. It hates water and flees from rain.",Sturdy,Rock Head,Rattled,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Sudowoodo_(Pok%C3%A9mon)
0186,Politoed,2,1,Frog Pokémon,1.1,33.9,20,Tarpaud,Politoed,Quaxo,Politoed,True,50,50,True,45,Medium Slow,Green,70,90,75,75,90,100,70,225,Water 1,,Water,,0,0,0,0,3,0,"It's the leader of Poliwag and Poliwhirl. When Politoed roars, they all cower in fear.",Water Absorb,Damp,Drizzle,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Politoed_(Pok%C3%A9mon)
0187,Hoppip,2,1,Cottonweed Pokémon,0.4,0.5,20,Granivol,Hoppip,Hoppspross,Hoppip,True,50,50,True,255,Medium Slow,Pink,70,35,35,40,35,55,50,50,Fairy,Grass,Grass,Flying,0,0,0,0,1,0,"Outside of cold regions, Hoppip can be found practically everywhere. This is because the wind carries this species all over the world.",Chlorophyll,Leaf Guard,Infiltrator,False,False,True,basic,18,https://bulbapedia.bulbagarden.net/wiki/Hoppip_(Pok%C3%A9mon)
0188,Skiploom,2,1,Cottonweed Pokémon,0.6,1.0,20,Floravol,Skiploom,Hubelupf,Skiploom,True,50,50,True,120,Medium Slow,Green,70,55,45,50,45,65,80,119,Fairy,Grass,Grass,Flying,0,0,0,0,0,2,"When the weather grows cold, Skiploom's flower closes and the Pokémon cannot photosynthesize, so it flies away to warmer regions.",Chlorophyll,Leaf Guard,Infiltrator,False,False,True,stage 1,27,https://bulbapedia.bulbagarden.net/wiki/Skiploom_(Pok%C3%A9mon)
0189,Jumpluff,2,1,Cottonweed Pokémon,0.8,3.0,20,Cotovol,Jumpluff,Papungha,Jumpluff,True,50,50,True,45,Medium Slow,Blue,70,75,55,70,55,85,110,207,Fairy,Grass,Grass,Flying,0,0,0,0,0,3,"Beware its cotton spores. If you accidentally breathe them in, you'll be racked with coughs and itchiness.",Chlorophyll,Leaf Guard,Infiltrator,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Jumpluff_(Pok%C3%A9mon)
0190,Aipom,2,1,Long Tail Pokémon,0.8,11.5,20,Capumain,Aipom,Griffel,Aipom,True,50,50,True,45,Fast,Purple,70,55,70,55,40,55,85,72,Field,,Normal,,0,0,0,0,0,1,"Its tail moves with greater dexterity than its hands. Making deft use of this tail, Aipom lives high among the treetops.",Run Away,Pickup,Skill Link,False,False,True,basic,,https://bulbapedia.bulbagarden.net/wiki/Aipom_(Pok%C3%A9mon)
0191,Sunkern,2,1,Seed Pokémon,0.3,1.8,20,Tournegrin,Sunkern,Sonnkern,Sunkern,True,50,50,True,235,Medium Slow,Yellow,70,30,30,30,30,30,30,36,Grass,,Grass,,0,0,0,1,0,0,It is very weak. Its only means of defense is to shake its leaves desperately at its attacker.,Chlorophyll,Solar Power,Early Bird,False,False,True,basic,,https://bulbapedia.bulbagarden.net/wiki/Sunkern_(Pok%C3%A9mon)
0192,Sunflora,2,1,Sun Pokémon,0.8,8.5,20,Héliatronc,Sunflora,Sonnflora,Sunflora,True,50,50,True,120,Medium Slow,Yellow,70,75,75,55,105,85,30,149,Grass,,Grass,,0,0,0,2,0,0,"Since it converts sunlight into energy, it is always looking in the direction of the sun.",Chlorophyll,Solar Power,Early Bird,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Sunflora_(Pok%C3%A9mon)
0193,Yanma,2,1,Clear Wing Pokémon,1.2,38.0,20,Yanma,Yanma,Yanma,Yanma,True,50,50,True,75,Medium Fast,Red,70,65,65,45,75,45,95,78,Bug,,Bug,Flying,0,0,0,0,0,1,"It can see in all directions without moving its big eyes, helping it spot both attackers and prey right away.",Speed Boost,Compound Eyes,Frisk,False,False,True,basic,,https://bulbapedia.bulbagarden.net/wiki/Yanma_(Pok%C3%A9mon)
0194,Wooper,2,2,Water Fish Pokémon,0.4,8.5,20,Axoloto,Wooper,Felino,Wooper,True,50,50,True,255,Medium Fast,Blue,70,55,45,45,25,25,15,42,Water 1,Field,Water,Ground,1,0,0,0,0,0,"When it walks around on land, it coats its body with a slimy, poisonous film.",Damp,Water Absorb,Unaware,False,False,True,basic,20,https://bulbapedia.bulbagarden.net/wiki/Wooper_(Pok%C3%A9mon)
0195,Quagsire,2,1,Water Fish Pokémon,1.4,75.0,20,Maraiste,Quagsire,Morlord,Quagsire,True,50,50,True,90,Medium Fast,Blue,70,95,85,85,65,65,35,151,Water 1,Field,Water,Ground,2,0,0,0,0,0,"Due to its relaxed and carefree attitude, it often bumps its head on riverbed boulders and boat hulls as it swims.",Damp,Water Absorb,Unaware,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Quagsire_(Pok%C3%A9mon)
0196,Espeon,2,1,Sun Pokémon,0.9,26.5,35,Mentali,Espeon,Psiana,Espeon,True,12.5,87.5,True,45,Medium Fast,Purple,70,65,65,60,130,95,110,184,Field,,Psychic,,0,0,0,2,0,0,It uses the fine hair that covers its body to sense air currents and predict its enemy's actions.,Synchronize,,Magic Bounce,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Espeon_(Pok%C3%A9mon)
